CargoNombre,Nombre,Partido,ID,Grado
Diputado,Claudia Nogueira Fernández,UDI,29876,DIETA PARLEMENTARIA
Diputado,Karol Cariola Oliva,PC,97747,DIETA PARLEMENTARIA
Diputado,Pepe Auth Steward,Ind.,#N/D,DIETA PARLEMENTARIA
Diputado,Joaquín Lavín León,UDI,102389,DIETA PARLEMENTARIA
Diputado,Marcela Sabat Fernández,RN,17882,DIETA PARLEMENTARIA
Diputado,Maya Fernández Allende,PS,93651,DIETA PARLEMENTARIA
Diputado,Giorgio Jackson Drago,RD,34321,DIETA PARLEMENTARIA
Diputado,Felipe Kast Sommerhoff,Evópoli,118737,DIETA PARLEMENTARIA
Diputado,Cristián Monckeberg Bruner,RN,79389,DIETA PARLEMENTARIA
Diputado,Ernesto Silva Méndez,UDI,20762,DIETA PARLEMENTARIA
Diputado,José Antonio Kast Rist,Ind.,116169,DIETA PARLEMENTARIA
Diputado,Jaime Pilowsky Greene,DC,80206,DIETA PARLEMENTARIA
Diputado,Ramón Farías Ponce,PPD,90946,DIETA PARLEMENTARIA
Diputado,Claudio Arriagada Macaya,DC,77878,DIETA PARLEMENTARIA
Diputado,Gustavo Hasbún Selume,UDI,105365,DIETA PARLEMENTARIA
Diputado,Camila Vallejo Downing,PC,120356,DIETA PARLEMENTARIA
Diputado,Tucapel Jiménez Fuentes,PPD,68022,DIETA PARLEMENTARIA
Diputado,Daniel Melo Contreras,PS,71379,DIETA PARLEMENTARIA
Diputado,Guillermo Teillier del Valle,PC,69409,DIETA PARLEMENTARIA
Diputado,Pedro Browne Urrejola,Amplitud,123102,DIETA PARLEMENTARIA
Diputado,Osvaldo Andrade Lara,PS,22344,DIETA PARLEMENTARIA
Diputado,Leopoldo Pérez Lahsen,RN,111255,DIETA PARLEMENTARIA
Diputado,Jaime Bellolio Avaria,UDI,109475,DIETA PARLEMENTARIA
Diputado,Leonardo Soto Ferrada,PS,57926,DIETA PARLEMENTARIA
Diputado,Denise Pascal Allende,PS,35031,DIETA PARLEMENTARIA
Diputado,Juan Antonio Coloma Álamos,UDI,49283,DIETA PARLEMENTARIA
Diputado,Juan Luis Castro González,PS,37336,DIETA PARLEMENTARIA
Diputado,Issa Kort Garriga,UDI,87634,DIETA PARLEMENTARIA
Diputado,Ricardo Rincón González,DC,111685,DIETA PARLEMENTARIA
Diputado,Felipe Letelier Norambuena,PPD,51158,DIETA PARLEMENTARIA
Diputado,Javier Macaya Danús,UDI,106088,DIETA PARLEMENTARIA
Diputado,Alejandra Sepúlveda Orbenes,MIRAS,104044,DIETA PARLEMENTARIA
Diputado,Sergio Espejo Yaksic,DC,90228,DIETA PARLEMENTARIA
Diputado,Ramón Barros Montero,Ind.,90784,DIETA PARLEMENTARIA
Diputado,Roberto León Ramírez,DC,122943,DIETA PARLEMENTARIA
Diputado,Celso Morales Muñoz,UDI,111696,DIETA PARLEMENTARIA
Diputado,Germán Verdugo Soto,Ind.,70129,DIETA PARLEMENTARIA
Diputado,Sergio Aguiló Melo,IC,89194,DIETA PARLEMENTARIA
Diputado,Pedro Pablo Álvarez-Salamanca Ramírez,UDI,98361,DIETA PARLEMENTARIA
Diputado,Pablo Lorenzini Basso,DC,14028,DIETA PARLEMENTARIA
Diputado,Romilio Gutiérrez Pino,UDI,10182,DIETA PARLEMENTARIA
Diputado,Jorge Tarud Daccarett,PPD,9825,DIETA PARLEMENTARIA
Diputado,Ignacio Urrutia Bonilla,UDI,43072,DIETA PARLEMENTARIA
Diputado,Guillermo Ceroni Fuentes,PPD,9821,DIETA PARLEMENTARIA
Diputado,Carlos Abel Jarpa Wevar,PRSD,16711,DIETA PARLEMENTARIA
Diputado,Rosauro Martínez Labbe,RN,78167,DIETA PARLEMENTARIA
Diputado,Jorge Sabag Villalobos,DC,51614,DIETA PARLEMENTARIA
Diputado,Loreto Carvajal Ambiado,PPD,106489,DIETA PARLEMENTARIA
Diputado,Cristián Campos Jara,PPD,108114,DIETA PARLEMENTARIA
Diputado,Jorge Ulloa Aguillón,UDI,27096,DIETA PARLEMENTARIA
Diputado,José Miguel Ortiz Novoa,DC,106160,DIETA PARLEMENTARIA
Diputado,Enrique van Rysselberghe Herrera,UDI,8795,DIETA PARLEMENTARIA
Diputado,Clemira Pacheco Rivas,PS,27997,DIETA PARLEMENTARIA
Diputado,Marcelo Chávez Velásquez,DC,103301,DIETA PARLEMENTARIA
Diputado,Manuel Monsalve Benavides,PS,52635,DIETA PARLEMENTARIA
Diputado,Iván Norambuena Farías,UDI,31526,DIETA PARLEMENTARIA
Diputado,José Pérez Arriagada,PRSD,32085,DIETA PARLEMENTARIA
Diputado,Roberto Poblete Zapata,Ind.,82041,DIETA PARLEMENTARIA
Diputado,Jorge Rathgeb Schifferli,RN,89744,DIETA PARLEMENTARIA
Diputado,Mario Venegas Cárdenas,DC,90744,DIETA PARLEMENTARIA
Diputado,Fuad Chahin Valenzuela,DC,29413,DIETA PARLEMENTARIA
Diputado,Diego Paulsen Kehr,RN,105052,DIETA PARLEMENTARIA
Diputado,Germán Becker Alvear,RN,122080,DIETA PARLEMENTARIA
Diputado,Rene Saffirio Espinoza,Ind.,48128,DIETA PARLEMENTARIA
Diputado,Joaquín Tuma Zedan,PPD,54140,DIETA PARLEMENTARIA
Diputado,José Manuel Edwards Silva,Ind.,104900,DIETA PARLEMENTARIA
Diputado,Fernando Meza Moncada,PRSD,31205,DIETA PARLEMENTARIA
Diputado,René Manuel García García,RN,64723,DIETA PARLEMENTARIA
Diputado,Bernardo Berger Fett,RN,79161,DIETA PARLEMENTARIA
Diputado,Iván Flores García,DC,45914,DIETA PARLEMENTARIA
Diputado,Enrique Jaramillo Becker,PPD,94346,DIETA PARLEMENTARIA
Diputado,Gonzalo Fuenzalida Figueroa,RN,65438,DIETA PARLEMENTARIA
Diputado,Sergio Ojeda Uribe,DC,76519,DIETA PARLEMENTARIA
Diputado,Javier Hernández Hernández,UDI,8595,DIETA PARLEMENTARIA
Diputado,Fidel Espinoza Sandoval,PS,36213,DIETA PARLEMENTARIA
Diputado,Felipe De Mussy Hiriart,UDI,49305,DIETA PARLEMENTARIA
Diputado,Marisol Turres Figueroa,UDI,48138,DIETA PARLEMENTARIA
Diputado,Patricio Vallespín López,DC,23210,DIETA PARLEMENTARIA
Diputado,Alejandro Santana Tirachini,RN,88255,DIETA PARLEMENTARIA
Diputado,Jenny Álvarez Vera,PS,76958,DIETA PARLEMENTARIA
Diputado,David Sandoval Plaza,UDI,115798,DIETA PARLEMENTARIA
Diputado,Iván Fuentes Castillo,DC,8801,DIETA PARLEMENTARIA
Diputado,Juan Morano Cornejo,DC,8664,DIETA PARLEMENTARIA
Diputado,Gabriel Boric Font,Ind.,64431,DIETA PARLEMENTARIA
Senador,Andrés Allamand Zavala,RN,111209,DIETA PARLEMENTARIA
Senador,Isabel Allende Bussi,PS,116262,DIETA PARLEMENTARIA
Senador,Pedro Araya Guerrero,Ind.,65099,DIETA PARLEMENTARIA
Senador,Carlos Bianchi Chelech,Ind.,86697,DIETA PARLEMENTARIA
Senador,Francisco Chahuán Chahuán,RN,105813,DIETA PARLEMENTARIA
Senador,Juan Antonio Coloma Correa,UDI,63512,DIETA PARLEMENTARIA
