id,contact_country,sub_category,acronym,name,main_category,cost_min,cost_max,cost_absolute
fcb79412dc4c4e83a4a1112983415474,21,24,,OPPORTUNITY ASBL,2,,9999,
fcb180cc9da243df99049eb0f5d518a7,108,13,,Romeo D'Amicis,1,,9999,
fca6c5689b8946e387a62507eb10144b,21,22,FSE,Food Supplements Europe,2,300000,399999,
fc7d40d67c7940e1bd5459e3d02ac326,59,31,NOAH,Miljøbevægelsen NOAH,3,,9999,
fc7d2afb2a4845d6ab1e3ffddc18deb1,177,22,COTEC Portugal,COTEC Portugal - Associação Empresarial para a Inovação,2,,9999,
fc7badc811a34f95a711384e662a5bda,108,22,ISCOM E.R.,ISTITUTO PER LO SVILUPPO DEL COMMERCIO E DEL TURISMO DELL'EMILIA ROMAGNA - ISCOM EMILIA ROMAGNA,2,,9999,
fc7b922c933843b6835e9377c64070c2,180,31,IPP,Association Institute for Public Policy,3,,,0
fc7b64756e014b01896c9fb598b782c2,209,31,CRMH da Coruña,Comisión pola Recuperación da Memoria Histórica da Coruña,3,,9999,
fc739586bf124024bc44e31856cf0df7,215,21,Technocorp,Technocorp Holding S.A,2,300000,399999,
fc726faa91d94d7881ebfca499d96416,59,22,EuFiAs,European Fireworks Association,2,,9999,
fc6ba4bc05754730b435e3ad248475ae,233,31,PRI,Penal Reform International,3,,9999,
fc6b3c1439ce49c2bf79caadf464c59e,82,31,,"Verband binationaler Familien und Partnerschaften, iaf e.V.",3,,9999,
fc6b1e1538364133b3bb41fc0326be9e,75,21,,TourCom,2,25000,49999,
fc5a1dc90ec540f9aeef3ffaebc957dc,28,31,SEE Change Net,The South-East Europe Change Net Foundation (Fondacija Mreža za promjene Jugoistočne Evrope),3,,9999,
fc5941f8a1124f1b90b5fd6bb5b410af,74,31,DIF,Directors' Institute of Finland / Hallitusammattilaiset ry,3,,,200000
fc28d0d32ec74e9c95186f81257361b9,21,22,KBA EUROPE AISBL,KBA (Korea Business Association) Europe AISBL,2,,9999,
fc268fb8cbec4941aaf1e260a19267f8,108,31,A4M,Alliance for Materials,3,,9999,
fc25c0d0efb7411d8ab3cef82bac7f5a,82,22,BGL,"Bundesverband Garten-, Landschafts- und Sportplatzbau e.V.",2,50000,99999,
fc05945e317047d0a18a182d6bc6d8c1,21,22,FTTH Council Europe,FTTH Council Europe ASBL,2,50000,99999,
fc02b3f7042040c9abc8aa4a0c0d7e0e,127,31,EuroCOP,European Confederation of Police,3,,,30000
fc020601f6514a58a9bc6c149257f1ae,21,22,EGFATT,Association européenne des Fonds de Garantie Voyages,2,,,12000
fbe99945584e47a690c6fd459d72f758,82,31,TGEU,Transgender Europe,3,50000,99999,
fbdaa9237ee647558f24dfb262243544,127,11,,INTRASOFT International,1,10000000,,
fbd0765bb3564388a5bfdf8666499879,165,21,,ECOHZ AS,2,,9999,
fbc9d4a08e4a461e9a9ea68d487ffaab,21,22,CheMI,European Platform for Chemicals Using Manufacturing Industries,2,,,0
fbc58052f1f645468bc8938c1fa3e79a,233,31,CSW,Christian Solidarity Worldwide,3,,9999,
fbc29682552c46baaec8e55e3361e90b,21,31,,European Coalition for Corporate Justice,3,,,57130
fbbac123041f4f17af8c26750d53f67d,54,31,UPS,Udruga poreznih stručnjaka,3,,9999,
fbb1ed6a73b94d30a5a6ba070ed51cde,82,31,LBV-NU,LBV-Kreisgruppe Neu-Ulm,3,10000,24999,
fbb09de043ea40cbb9a13d83a9419737,108,12,,avv. Davide Maresca,1,,9999,
fb9ec5882645424aa87a7ba12fb25a3e,209,21,,"Banco Santander, S.A.",2,600000,699999,
fb95c7b809a64003bd6ff176e5d319fa,21,24,UKRO,UK Research Office,2,,9999,
fb95c7b809a64003bd6ff176e5d319fa,21,24,UKRO,UK Research Office,2,,9999,
fb9296ad532a460ab4382ce064be4271,155,21,,Brown-Forman,2,200000,299999,
fb8c23f3d01a4454a1b606057c2b4571,231,31,AntAC,Anti-corruption Action Centre,3,,,181345
fb8b567ab26147dd900bb43714db3465,155,41,ESTIV,European Society of Toxicology In Vitro,4,,9999,
fb880a09da624f95b49723b25f0acef2,234,31,HRW,Human Rights Watch,3,,9999,
fb8277244ec74ba190d3e48a58e2080a,21,24,CEN,European Committee for Standardization,2,100000,199999,
fb2e0e2c7126427da5a584084617527c,82,22,EWIMA,European Writing Instrument Manufacturer's Association,2,,,2000
fb2d75c2af6b4ef382070adecb14c25c,107,31,IAJLJ,The International Association of Jewish Lawyers and Jurists,3,,9999,
fb23f574f5744b9491ab4e97467a048b,21,21,Federplast.be,Belgische vereniging van producenten van kunststof- en rubberartikelen,2,,9999,
fb0cb172609c44e088f95552a92b0146,177,21,HF,Horários do Funchal,2,,9999,
fae17b96dfc54aa3b37de74921a489ff,233,61,Ofgem,Office of Gas and Electricity Markets,6,,9999,
fadf19e74b2f4dc9951adab08c068888,209,21,,PUERTO DE CELEIRO S.A.,2,,,26000
faa9e3323e8d4700bf7e84c8b5068f1b,108,21,,Borsa Italiana,2,100000,199999,
faa4c49a9efd4a0a89076b81be3234b0,14,31,,ADF International,3,400000,499999,
faa27b6b1ac644e5a74f6eb64f374eb7,21,22,BB,Boerenbond,2,50000,99999,
