Name,ID
Luigi Ciriaco DE MITA,1746
Proinsias DE ROSSA,1289
Marielle de SARNEZ,4335
Harlem DÉSIR,4318
Albert DESS,28228
Tamás DEUTSCH,96826
Nirj DEVA,4556
Christine DE VEYRAC,4347
Agustín DÍAZ DE MERA GARCÍA CONSUEGRA,28397
Roberto DIETRICH,125380
Diane DODDS,96951
Leonardo DOMENICI,96888
Leonidas DONSKIS,96692
Herbert DORFMANN,96787
Dimitrios DROUTSAS,107977
Andrew DUFF,4514
Isabelle DURANT,96639
Robert DUŠEK,96717
Christian EHLER,28226
Martin EHRENHAUSER,39769
Bas EICKHOUT,96725
Lena EK,28127
Saïd EL KHADRAOUI,25718
James ELLES,1419
Ioan ENCIU,96859
Frank ENGEL,96876
Christian ENGSTRÖM,96676
Derk Jan EPPINK,97133
Cornelia ERNST,96852
Ismail ERTUG,96842
Sari ESSAYAH,96682
Rosa ESTARÀS FERRAGUT,96811
Edite ESTRELA,28310
Jill EVANS,4550
Hynek FAJMON,23695
Tanja FAJON,96911
Richard FALBR,23840
Nigel FARAGE,4525
Göran FÄRM,4265
Diogo FEIO,96977
Markus FERBER,1917
José Manuel FERNANDES,96899
Elisa FERREIRA,28308
João FERREIRA,96706
Carlo FIDANZA,96810
Ilda FIGUEIREDO,4466
Santiago FISAS AYXELÀ,96729
Christofer FJELLNER,28126
Věra FLASAROVÁ,28336
Monika FLAŠÍKOVÁ BEŇOVÁ,23868
Hélène FLAUTRE,4385
Knut FLECKENSTEIN,96840
Karl-Heinz FLORENZ,1038
Lorenzo FONTANA,96993
Vicky FORD,96949
Jacqueline FOSTER,4553
Ashley FOX,96957
Carmen FRAGA ESTÉVEZ,1993
Gaston FRANCO,96908
Franco FRIGO,118999
Mariya GABRIEL,96848
Michael GAHLER,2341
Kinga GÁL,28150
Pat the Cope GALLAGHER,2125
Marielle GALLO,96896
Ildikó GÁLL-PELCZ,102886
Vicente Miguel GARCÉS RAMÓN,39321
Dolores GARCÍA-HIERRO CARABALLO,111017
José Manuel GARCÍA-MARGALLO Y MARFIL,1992
Iratxe GARCÍA PÉREZ,28298
Eider GARDIAZABAL RUBIAL,96991
Elisabetta GARDINI,58758
Giuseppe GARGANI,4562
Salvador GARRIGA POLLEDO,1665
Jean-Paul GAUZÈS,28193
Evelyne GEBHARDT,1913
Jens GEIER,96833
Gerben-Jan GERBRANDY,96940
Lidia Joanna GERINGER de OEDENBERG,28377
Marietta GIANNAKOU,1431
Sven GIEGOLD,96730
Adam GIEREK,28379
Julie GIRLING,96956
Georgios GKIKOPOULOS,124646
Norbert GLANTE,1902
Béla GLATTFELDER,28145
Ivars GODMANIS,97004
Robert GOEBBELS,4429
Charles GOERENS,840
Bruno GOLLNISCH,1164
Ana GOMES,28306
Kinga GÖNCZ,96832
Sylvie GOULARD,97137
Luis de GRANDES PASCUAL,28393
Ingeborg GRÄSSLE,28220
Louis GRECH,28123
Estelle GRELIER,96953
Catherine GRÈZE,96745
Nathalie GRIESBECK,28208
Nick GRIFFIN,96751
Marek Józef GRÓBARCZYK,96790
Matthias GROOTE,34728
Mathieu GROSCH,2247
Françoise GROSSETÊTE,2025
Pascale GRUNY,96983
Andrzej GRZYB,23785
Roberto GUALTIERI,96892
Enrique GUERRERO SALOM,96768
Sylvie GUILLAUME,96952
Zita GURMAI,23805
Mikael GUSTAFSSON,109649
Cristina GUTIÉRREZ-CORTINES,4326
Sergio GUTIÉRREZ PRIETO,103488
