name,id,voted,votes,percent,active
"Zbigniew KUŹMIUK",28389,2015,2058,97.91,True
"Merja KYLLÖNEN",124736,2015,2058,97.91,True
"Marijana PETIR",124749,2015,2058,97.91,True
"Dario TAMBURRANO",124813,2015,2058,97.91,True
"Salvatore Domenico POGLIESE",124853,2014,2058,97.86,True
"Stefan ECK",124863,2013,2058,97.81,True
"Monika FLAŠÍKOVÁ BEŇOVÁ",23868,2013,2058,97.81,True
"Karin KADENBACH",97014,2013,2058,97.81,True
"Liliana RODRIGUES",125099,2013,2058,97.81,True
"Gesine MEISSNER",96870,2012,2058,97.76,True
"Zoltán BALCZÓ",96877,2011,2058,97.72,True
"Marcus PRETZELL",124830,2011,2058,97.72,True
"Damiano ZOFFOLI",131051,1717,1758,97.67,True
"Tiziana BEGHIN",124777,2010,2058,97.67,True
"Jonás FERNÁNDEZ",125046,2010,2058,97.67,True
"Peter SIMON",96836,2010,2058,97.67,True
"Karima DELLI",96868,2009,2058,97.62,True
"Péter NIEDERMÜLLER",124723,2009,2058,97.62,True
"Herbert REUL",28225,2009,2058,97.62,True
"Charles TANNOCK",4521,2009,2058,97.62,True
"Edward CZESAK",132925,1139,1167,97.60,True
"Pavel SVOBODA",96272,2008,2058,97.57,True
"Arne LIETZ",124839,2007,2058,97.52,True
"Franz OBERMAYR",96981,2007,2058,97.52,True
"Miguel URBÁN CRESPO",131507,1714,1758,97.50,True
"Bernd LUCKE",124820,2006,2058,97.47,True
"Lola SÁNCHEZ CALDENTEY",125035,2006,2058,97.47,True
"Luis de GRANDES PASCUAL",28393,2006,2058,97.47,True
"Ignazio CORRAO",124856,2005,2058,97.42,True
"Fernando MAURA BARANDIARÁN",125039,2005,2058,97.42,False
"Biljana BORZAN",112748,2003,2058,97.33,True
"Krzysztof HETMAN",124895,2003,2058,97.33,True
"Theodor Dumitru STOLOJAN",39721,2003,2058,97.33,True
"Ernest MARAGALL",124933,2002,2058,97.28,True
"Vilija BLINKEVIČIŪTĖ",96681,2001,2058,97.23,True
"Ulrike LUNACEK",97017,2001,2058,97.23,True
"Salvatore CICU",124854,2000,2058,97.18,True
"Roberto GUALTIERI",96892,2000,2058,97.18,True
"Andrey KOVATCHEV",97968,2000,2058,97.18,True
"Vincent PEILLON",28166,2000,2058,97.18,True
"Mary HONEYBALL",5846,1999,2058,97.13,True
"Matthijs van MILTENBURG",125022,1999,2058,97.13,True
"Ingeborg GRÄSSLE",28220,1998,2058,97.08,True
"Siegfried MUREŞAN",124802,1998,2058,97.08,True
"Sophia in 't VELD",28266,1998,2058,97.08,True
"Norbert NEUSER",96844,1997,2058,97.04,True
"Anders Primdahl VISTISEN",124875,1997,2058,97.04,True
"Eric ANDRIEU",113892,1996,2058,96.99,True
"Esteban GONZÁLEZ PONS",125027,1996,2058,96.99,True
"Jeroen LENAERS",95074,1996,2058,96.99,True
"Victor BOŞTINARU",39711,1995,2058,96.94,True
"Iratxe GARCÍA PÉREZ",28298,1995,2058,96.94,True
"Andrej PLENKOVIĆ",112755,1995,2058,96.94,True
"Cecilia WIKSTRÖM",96677,1995,2058,96.94,True
"Petras AUŠTREVIČIUS",124766,1994,2058,96.89,True
"Guillaume BALAS",124744,1994,2058,96.89,True
"Marco ZULLO",125237,1994,2058,96.89,True
"Axel VOSS",96761,1993,2058,96.84,True
"Pascal ARIMONT",24922,1992,2058,96.79,True
"Barbara KAPPEL",125024,1992,2058,96.79,True
"Jiří POSPÍŠIL",125706,1991,2058,96.74,True
"Pablo IGLESIAS",125031,1589,1643,96.71,False
"Catherine BEARDER",96955,1990,2058,96.70,True
"Victor NEGRESCU",88882,1990,2058,96.70,True
"Marek PLURA",124881,1990,2058,96.70,True
"Alfred SANT",124781,1990,2058,96.70,True
"Claudiu Ciprian TĂNĂSESCU",96847,1989,2058,96.65,True
"Branislav ŠKRIPEK",124927,1987,2058,96.55,True
"Harald VILIMSKY",125001,1986,2058,96.50,True
"Simona BONAFÈ",124814,1985,2058,96.45,True
"Ivo VAJGL",97019,1984,2058,96.40,True
"Fredrick FEDERLEY",124989,1982,2058,96.31,True
"Ole CHRISTENSEN",28154,1981,2058,96.26,True
"Julia REDA",124816,1981,2058,96.26,True
"Ramón Luis VALCÁRCEL SISO",125032,1981,2058,96.26,True
"Theresa GRIFFIN",124961,1980,2058,96.21,True
"Benedek JÁVOR",124721,1980,2058,96.21,True
"Luděk NIEDERMAYER",124701,1979,2058,96.16,True
"Remo SERNAGIOTTO",124794,1979,2058,96.16,True
"Elena GENTILE",124847,1978,2058,96.11,True
"Christine REVAULT D'ALLONNES BONNEFOY",124287,1978,2058,96.11,True
"József SZÁJER",23821,1978,2058,96.11,True
"Mark DEMESMAEKER",117477,1977,2058,96.06,True
"Adam GIEREK",28379,1977,2058,96.06,True
"Kaja KALLAS",124697,1977,2058,96.06,True
"Tomáš ZDECHOVSKÝ",124713,1977,2058,96.06,True
"Lidia Joanna GERINGER de OEDENBERG",28377,1976,2058,96.02,True
"Markus PIEPER",28224,1976,2058,96.02,True
"Michel REIMON",124935,1976,2058,96.02,True
"Krišjānis KARIŅŠ",96901,1975,2058,95.97,True
"Carlos ZORRINHO",124739,1975,2058,95.97,True
"Francisco José MILLÁN MON",28400,1974,2058,95.92,True
"Rainer WIELAND",2323,1974,2058,95.92,True
"Bas BELDER",4507,1973,2058,95.87,True
"Momchil NEKOV",125013,1973,2058,95.87,True
"Maria NOICHL",124836,1973,2058,95.87,True
"Tania GONZÁLEZ PEÑAS",127330,1972,2058,95.82,True
"Julie WARD",124963,1972,2058,95.82,True
"Sophie MONTEL",124769,1971,2058,95.77,True
"Pál CSÁKY",124930,1970,2058,95.72,True
"Ana GOMES",28306,1970,2058,95.72,True
"Hans-Olaf HENKEL",124823,1970,2058,95.72,True
"Iliana IOTOVA",38605,1970,2058,95.72,True
"Angelika MLINAR",125026,1970,2058,95.72,True
"Soledad CABEZÓN RUIZ",125041,1969,2058,95.68,True
"Angélique DELAHAYE",124732,1969,2058,95.68,True
"Malin BJÖRK",124992,1968,2058,95.63,True
"Claudia TAPARDEL",124793,1968,2058,95.63,True
"Jan OLBRYCHT",28288,1967,2058,95.58,True
"Jana ŽITŇANSKÁ",124901,1967,2058,95.58,True
"Dominique BILDE",124771,1966,2058,95.53,True
"Gianluca BUONANNO",124869,1966,2058,95.53,True
"Marju LAURISTIN",124698,1966,2058,95.53,True
"Bronis ROPĖ",125214,1966,2058,95.53,True
"Catherine STIHLER",4545,1966,2058,95.53,True
"Enrico GASBARRA",124817,1965,2058,95.48,True
"Matthias GROOTE",34728,1965,2058,95.48,True
"Morten Helveg PETERSEN",124872,1965,2058,95.48,True
"Nathalie GRIESBECK",28208,1964,2058,95.43,True
"Dietmar KÖSTER",124822,1964,2058,95.43,True
"Constance LE GRIP",101580,1964,2058,95.43,True
"Traian UNGUREANU",96835,1964,2058,95.43,True
"Ivo BELET",28257,1963,2058,95.38,True
"Miapetra KUMPULA-NATRI",124735,1963,2058,95.38,True
"Laura FERRARA",124833,1962,2058,95.34,True
"Iris HOFFMANN",124841,1962,2058,95.34,True
