Name,Country,Political_group,Party,Institution,Previous_position,New_position,Category_activity,Link_profile,Link_source,Description,Paid_unpaid,Date,Answers,Certified
Joaquín Almunia,Spain,,,European Commission,Commissioner for Competition,Member of the advisory board of the Foundation for European Progressive Studies ,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2116-EN-F1-1.PDF,"provided that Mr ALMUNIA refrained from lobbying the Commission and/or its departments on all matters relating to his portfolio on behalf of the bodies mentioned above and/or in the interests of other bodies that they might wish to promote, during the 18 months after he left office; ",unpaid,18/02/2015,no,http://www.asktheeu.org/en/request/1999/response/7031/attach/2/annexe%202.pdf
Joaquín Almunia,Spain,,,European Commission,Commissioner for Competition,member of the Board of the Deusto Business School ,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2116-EN-F1-1.PDF,,unpaid,18/02/2015,no,http://www.asktheeu.org/en/request/1999/response/7031/attach/2/annexe%202.pdf
Joaquín Almunia,Spain,,,European Commission,Commissioner for Competition,Member of the Board of Trustees of Friends of Europe,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2116-EN-F1-1.PDF,"provided that Mr ALMUNIA refrained from lobbying the Commission and/or its departments on all matters relating to his portfolio on behalf of the bodies mentioned above and/or in the interests of other bodies that they might wish to promote, during the 18 months after he left office; ",unpaid,18/02/2015,no,http://www.asktheeu.org/en/request/1999/response/7031/attach/2/annexe%202.pdf
Joaquín Almunia,Spain,,,European Commission,Commissioner for Competition,member of the European Academies' Science Advisory Council ,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2116-EN-F1-1.PDF,,unpaid,18/02/2015,no,http://www.asktheeu.org/en/request/1999/response/7031/attach/2/annexe%202.pdf
Joaquín Almunia,Spain,,,European Commission,Commissioner for Competition,Visiting Fellow at the Minda de Gunzburg Center for European Studies at Harvard University ,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2116-EN-F1-1.PDF,,unpaid,18/02/2015,no,http://www.asktheeu.org/en/request/1999/response/7031/attach/2/annexe%202.pdf
Joaquín Almunia,Spain,,,European Commission,Commissioner for Competition,Visiting Professor in Practice at the European Institute of the London School of Economic ,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2116-EN-F1-1.PDF,,unpaid,18/02/2015,no,http://www.asktheeu.org/en/request/1999/response/7031/attach/2/annexe%202.pdf
Janusz Lewandowski,Poland,,,European Commission,Commissioner for Financial Programming and Budget ,MEP,,,,No authorisation required,paid  ,- ,no,
Janez Poto?nik,Slovenia,,,European Commission,Commissioner for Environment,Member of the 'A vision for Europe towards sustainable and circular economy' Steering Committee ,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2122-EN-F1-1.PDF,"on the conditions that Mr Poto?nik: (1) abides by his obligations deriving from articles 245 and 339 of the TFEU and from the Code of Conduct for Commissioners, and notably as concerns the protection of the confidentiality and the collegiality of the matters dealt with by the Commission during his three Commission mandates; and (2) refrains from lobbying the Commission and its services, in the context of his activity as member of the Steering Committee for ""A Vision for Europe towards sustainable and circular economy""and, in more general terms, in favour of the Stiftungsfonds für Umweltökonomie und Nachhaltigkeit, the Ellen McArthur Foundation and the McKinsey Center for Business & Environment"". ",paid  ,15/04/2015,yes,http://www.asktheeu.org/en/request/1946/response/7116/attach/8/Annexe%201.pdf + http://www.asktheeu.org/en/request/1946/response/7116/attach/10/M%20Potocnik%20annexe%202.pdf + http://www.asktheeu.org/en/request/1946/response/7116/attach/11/M%20Potocnik%20annexe%203.pdf 
Janez Poto?nik,Slovenia,,,European Commission,Commissioner for Environment,President of the Long-term vision for the Balkans sub-region of the Mediterranean Biodiversity Hotspot in the framework of the Critical Ecosystem Partnership Fund ,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2122-EN-F1-1.PDF,"on the conditions that Mr Poto?nik: (1) abides by his obligations deriving from articles 245 and 339 of the TFEU and from the Code of Conduct for Commissioners, and notably as concerns the protection of the confidentiality and the collegiality of the matters dealt with by the Commission during his three Commission mandates; and (2) refrains from any lobbying vis-à-vis the Commission and its services. ",paid  ,15/04/2015,yes,http://www.asktheeu.org/en/request/1946/response/7116/attach/10/M%20Potocnik%20annexe%202.pdf + http://www.asktheeu.org/en/request/1946/response/7116/attach/10/M%20Potocnik%20annexe%202.pdf + http://www.asktheeu.org/en/request/1946/response/7116/attach/11/M%20Potocnik%20annexe%203.pdf + http://www.asktheeu.org/en/request/1946/response/7116/attach/11/M%20Potocnik%20annexe%203.pdf
Janez Poto?nik,Slovenia,,,European Commission,Commissioner for Environment,Ambassador for the Global Alliance on Health and Pollution ,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2120-EN-F1-1.PDF,,unpaid,18/03/2015,yes,http://www.asktheeu.org/en/request/1946/response/7116/attach/8/Annexe%201.pdf + http://www.asktheeu.org/en/request/1946/response/7116/attach/10/M%20Potocnik%20annexe%202.pdf
Janez Poto?nik,Slovenia,,,European Commission,Commissioner for Environment,President of the Rural Investment Support for Europe Foundation (RISE Foundation) ,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2120-EN-F1-1.PDF,"Providing Mr POTO?NIK refrained from lobbying the Commission and/or its departments for eighteen months after leaving the Commission should the RISE Foundation decide to become involved in specific projects linked to the environment and ask for financial support from the European Union, and, more generally, in favour of the RISE Foundation and/or the interests of the bodies it supports; ",unpaid,18/03/2015,yes,http://www.asktheeu.org/en/request/1946/response/7116/attach/8/Annexe%201.pdf + http://www.asktheeu.org/en/request/1946/response/7116/attach/10/M%20Potocnik%20annexe%202.pdf
Janez Poto?nik,Slovenia,,,European Commission,Commissioner for Environment,Co-president of the UN International Resource Panel ,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2109-EN-F1-1.Pdf,,,10/12/2014,yes,http://www.asktheeu.org/en/request/1549/response/5975/attach/6/annex%20vi.pdf + http://www.asktheeu.org/en/request/1549/response/6127/attach/6/annex%20iii.pdf + http://www.asktheeu.org/en/request/1549/response/6127/attach/7/annex%20iv.pdf
Janez Poto?nik,Slovenia,,,European Commission,Commissioner for Environment,President of the Forum for the Future of Agriculture ,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2109-EN-F1-1.Pdf,"providing his activities relating to organising the programme for the Forum's annual conference, the list of participants and chairing the annual conference did not include anything connected to the commercial interests of Syngenta; ",,10/12/2014,yes,http://www.asktheeu.org/en/request/1549/response/5975/attach/6/annex%20vi.pdf + http://www.asktheeu.org/en/request/1549/response/6127/attach/6/annex%20iii.pdf + http://www.asktheeu.org/en/request/1549/response/6127/attach/7/annex%20iv.pdf
Janez Poto?nik,Slovenia,,,European Commission,Commissioner for Environment,Member of the Advisory Board of the European Policy Centre ,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2109-EN-F1-1.Pdf,providing Mr POTO?NIK abstained from lobbying activities should the European Policy Centre decide to get involved in specific projects concerning the environment and ask for financing from the European Union; ,,10/12/2014,no,http://www.asktheeu.org/en/request/1549/response/5975/attach/6/annex%20vi.pdf + http://www.asktheeu.org/en/request/1549/response/6127/attach/7/annex%20iv.pdf 
Jacek Dominik ,Poland,,,European Commission,Commissioner for Budget,Counsellor General in the Ministry of Finance of Poland ,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2112-EN-F1-1.PDF,,paid  ,21/01/2015,no,http://www.asktheeu.org/en/request/2134/response/7636/attach/3/Annexes.pdf
Dacian Ciolo?,Romania,,,European Commission,Commissioner for Agriculture,Member of the Board of Trustees of the International Food Policy Research Institute (IFPRI,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2142-EN-F1-1.PDF,"""provided Mr CIOLO? (i) fulfilled his obligations of discretion and collective responsibility and confidentiality under Article 245 of the TFEU and Section 1.7 of the Code of Conduct for Commissioners, and (ii) refrained from lobbying the Commission and/or its departments with regard to any request by the IFPRI for financing from the European Union""",,14/10/2015,yes,http://www.asktheeu.org/en/request/dacian_ciolos_ifpri
Dacian Ciolo?,Romania,,,European Commission,Commissioner for Agriculture,Prime minister of Romania,,,http://www.politico.eu/article/former-commissioner-to-be-romanian-prime-minister/,No authorisation required,,11/11/2015,no,
Dacian Ciolo?,Romania,,,European Commission,Commissioner for Agriculture,Special adviser to Jean-Claude Juncker on International Food Security,,,http://europa.eu/rapid/press-release_MEX-15-5297_en.htm + http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2142-EN-F1-1.PDF,"No authorisation required, but see this ""the activity planned by Mr CIOLO? as a Member of the Board of Trustees of the International Food Policy Research Institute (IFPRI) was also compatible with that as Special Adviser to the President of the Commission in the field of international food safety, provided Mr CIOLO? (i) took care to fulfil all the obligations imposed on Special Advisers, (ii) immediately informed the Commission should a situation arise where there was risk of conflict of interest between his post as Special Adviser to the President of the Commission and his post as Member of the Board of Trustees of the IFPRI, and(iii) was not involved in any case connected to or having an effect on the financing of the IFPRI."" ",unpaid,- ,no,http://www.asktheeu.org/en/request/dacian_ciolos_ifpri
Dacian Ciolo?,Romania,,,European Commission,Commissioner for Agriculture,Participation in a session on the development of the agri-food sector in the framework of the International Economic Forum ,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2130-EN-F1-1.PDF,provided Mr CIOLO? fulfilled his obligations of discretion and collective responsibility and confidentiality under Article 245 TFEU and Section 1.7 of the Code of Conduct for Commissioners ,,09/06/2015,no,http://www.asktheeu.org/en/request/2066/response/7297/attach/2/annexes.pdf
Dacian Ciolo?,Romania,,,European Commission,Commissioner for Agriculture,Short (four to six days) expert contract with the World Bank ,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2130-EN-F1-1.PDF,Provided Mr CIOLO? fulfilled his obligations of discretion and collective responsibility and confidentiality under Article 245 TFEU and Section 1.7 of the Code of Conduct for Commissioners;  that this authorisation also covered future participation in any other one-off conferences to which the World Bank might wish to invite Mr CIOLO? as an expert under similar conditions,paid  ,09/06/2015,no,http://www.asktheeu.org/en/request/2066/response/7297/attach/2/annexes.pdf
Dacian Ciolo?,Romania,,,European Commission,Commissioner for Agriculture,Participation in a brainstorming event in Kazakhstan on the prospects for reform of agricultural policy via a short contract (of seven to nine days) with the World Bank,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2113-EN-F1-1.PDF,provided Mr CIOLO? fulfilled his obligations of discretion and collective responsibility and confidentiality under Article 245 TFEU and Section 1.7 of the Code of Conduct for Commissioners,paid  ,28/01/2015,no,http://www.asktheeu.org/en/request/1784/response/6498/attach/2/annexes.pdf
Dacian Ciolo?,Romania,,,European Commission,Commissioner for Agriculture,member of the Board of Trustees of Friends of Europe ,,,,No application for authorisation made,,- ,no,
Connie Hedegaard,Denmark,,,European Commission,Commissioner for Climate action,NOT KNOWN. Update October 2016: this role is now known to be board membership of Danfoss : https://euobserver.com/institutional/135306,,,Withdrawn before COM decision made,"CH emailed COM for authorisation for this activity on 11/11/14. The ad hoc ethical committee provided its opinion on 5/12/14. CH provided further information on 22/2/15. Ad hoc ethical committee provided a further opinion on 26/2/15. Following an email from Catherine Day, on 5/3/15, CH withdraws request.",,- ,yes,http://www.asktheeu.org/en/request/1691/response/6133/attach/3/RE%20Cann.pdf + http://www.asktheeu.org/en/request/2133/response/7677/attach/3/annexes.pdf
Connie Hedegaard,Denmark,,,European Commission,Commissioner for Climate action,Chair of the board of the Kann Foundation (now re-named KR Foundation),,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Pdf,"provided that she refrained from lobbying the Commission and its departments, should any of these organisations ask for financial support from the European Union ",,16/12/2014,yes,http://www.asktheeu.org/en/request/1691/response/6133/attach/4/annexes.pdf
Connie Hedegaard,Denmark,,,European Commission,Commissioner for Climate action,member of the board of Danfoss,,,http://www.asktheeu.org/en/request/ex_commissioner_hedegaard,No authorisation required as 18 month authorisation and lobby ban has now ended,?,-0,?,http://www.danfoss.com/newsstories/cf/former-eu-commissioner-for-climate-action-joins-danfoss-board/?ref=17179879870
Connie Hedegaard,Denmark,,,European Commission,Commissioner for Climate action,Chair of the OECD Round Table for Sustainable Development ,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Pdf,"provided that she refrained from lobbying the Commission and its departments, should any of these organisations ask for financial support from the European Union ",,16/12/2014,yes,http://www.asktheeu.org/en/request/1691/response/6133/attach/4/annexes.pdf
Connie Hedegaard,Denmark,,,European Commission,Commissioner for Climate action,Co-chair of the ‘R 20’ initiative ,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Pdf,"provided that she refrained from lobbying the Commission and its departments, should any of these organisations ask for financial support from the European Union ",unpaid,16/12/2014,yes,http://www.asktheeu.org/en/request/1691/response/6133/attach/4/annexes.pdf
Connie Hedegaard,Denmark,,,European Commission,Commissioner for Climate action,Chair of the Danish Ministry of Culture’s Public Service Committee ,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Pdf,"provided that she refrained from lobbying the Commission and its departments, should any of these organisations ask for financial support from the European Union ",,16/12/2014,no,http://www.asktheeu.org/en/request/1691/response/6133/attach/4/annexes.pdf
Connie Hedegaard,Denmark,,,European Commission,Commissioner for Climate action,External member of the board of Århus University + now chair (as of September 2016),,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Pdf,"provided that she refrained from lobbying the Commission and its departments, should any of these organisations ask for financial support from the European Union ",,16/12/2014,no,http://www.asktheeu.org/en/request/1691/response/6133/attach/4/annexes.pdf
Catherine Ashton,UK,,,European Commission,Commissioner for High Representative of the Union for Foreign Affairs and Security Policy ,Academic activity at Yale University ,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2138-EN-F1-1.PDF,"provided that Baroness ASHTON scrupulously fulfilled her obligations of discretion and collective responsibility and confidentiality under Articles 245 and 339 of the Treaty on the Function of the European Union (TFEU) and section 1.7 of the Code of Conduct for Commissioners, and that she refrained from lobbying the Commission and/or its departments for 18 months after leaving the Commission with regard to any request Yale University might make in order to gain support from the European Union",unpaid,16/09/2015,yes,http://www.asktheeu.org/en/request/2292/response/8155/attach/2/2015%205054.pdf
Catherine Ashton,UK,,,European Commission,Commissioner for High Representative of the Union for Foreign Affairs and Security Policy ,Involvement in activities of the think tank Inter Mediate ,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2138-EN-F1-1.PDF,"providing Baroness ASHTON scrupulously fulfilled her obligations of discretion and collective responsibility and confidentiality under Articles 245 and 339 TFEU and section 1.7 of the Code of Conduct for Commissioners, and that she refrained from lobbying the Commission and/or its departments for 18 months after leaving the Commission with regard to any request Inter Mediatemight make in order to gain support from the European Union. ",unpaid,16/09/2015,yes,http://www.asktheeu.org/en/request/2292/response/8155/attach/2/2015%205054.pdf
Catherine Ashton,UK,,,European Commission,Commissioner for High Representative of the Union for Foreign Affairs and Security Policy ,Take part in the discussions to be held as part of the Oslo Forum in June 2015 on Serbia and Kosovo ,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2122-EN-F1-1.PDF,provided that Baroness ASHTON took care to fulfil her obligations under Articles 245 and 339 of the TFEU and Section 1.7 of the Code of Conduct for Commissioners to behave with discretion and protect collective responsibility and confidentiality and that she refrained from any lobbying in relation to any request the Oslo Forum might make with a view to obtaining EU support. ,,15/04/2015,yes,http://www.asktheeu.org/en/request/1948/response/7004/attach/3/annexes.pdf
Catherine Ashton,UK,,,European Commission,Commissioner for High Representative of the Union for Foreign Affairs and Security Policy ,A member of the House of Lords,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2122-EN-F1-1.PDF,No authorisation required,unpaid,- ,no,http://www.asktheeu.org/en/request/1948/response/7004/attach/3/annexes.pdf
Catherine Ashton,UK,,,European Commission,Commissioner for High Representative of the Union for Foreign Affairs and Security Policy ,Visiting Fellow at the University of Yale (New Haven) ,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2122-EN-F1-1.PDF,provided that Baroness ASHTON took care to fulfil her obligations under Articles 245 and 339 of the TFEU and Section 1.7 of the Code of Conduct for Commissioners to behave with discretion and protect collective responsibility and confidentiality; ,unpaid,15/04/2015,no,http://www.asktheeu.org/en/request/1948/response/7004/attach/3/annexes.pdf
Catherine Ashton,UK,,,European Commission,Commissioner for High Representative of the Union for Foreign Affairs and Security Policy ,Visiting Professor at King's College (London) in particular in the field of foreign affairs ,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2122-EN-F1-1.PDF,provided that Baroness ASHTON took care to fulfil her obligations under Articles 245 and 339 of the TFEU and Section 1.7 of the Code of Conduct for Commissioners to behave with discretion and protect collective responsibility and confidentiality; ,unpaid,15/04/2015,no,http://www.asktheeu.org/en/request/1948/response/7004/attach/3/annexes.pdf
Catherine Ashton,UK,,,European Commission,Commissioner for High Representative of the Union for Foreign Affairs and Security Policy ,Giving academic lectures at three universities in Boston (USA) between 3 and 7 March 2015 on the subject of relations between the European Union and the United States ,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2113-EN-F1-1.PDF,on the condition that you strictly abide by your obligations of discretion and protection of collegiality and confidentiality stipulated in Articles 245 and 339 of the TFEU and in section 1.7 of the Code of Conduct for Commissioners. ,paid  ,28/01/2015,no,http://www.asktheeu.org/en/request/1785/response/6502/attach/3/annexes.pdf
Antonio Tajani,Italy,,,European Commission,Commissioner for Industry and Entrepreneurship ,MEP,,,http://www.europarl.europa.eu/meps/en/2187/ANTONIO_TAJANI_home.html,No authorisation required,paid  ,- ,no,
Androulla Vassiliou,Cyprus,,,European Commission,"Commissioner for Education, Culture, Multilingualism and Youth ",NOT KNOWN,,,Withdrawn before COM decision made,"Request made by AV on 9/2/15 for authorisation for 1 (of 2) additional activities. Ad hoc ethical committee consulted and their opinion delivered on 27/2/15. After emails with Catherine Day, AV withdraws request for authorisation. Vassiliou has confirmed that the committee's opinion was that there might be conflicts of interest arising; she decided to reject the offers and not proceed with seeking Commission authorisation.",,- ,yes,http://www.asktheeu.org/en/request/2136/response/7678/attach/3/Annexes.pdf + http://www.asktheeu.org/en/request/2136/response/7678/attach/4/annexes.pdf
Androulla Vassiliou,Cyprus,,,European Commission,"Commissioner for Education, Culture, Multilingualism and Youth ",NOT KNOWN,,,Withdrawn before COM decision made,"Request made by AV on 9/2/15 for authorisation for 1 (of 2) additional activities. Ad hoc ethical committee consulted and their opinion delivered on 27/2/15. After emails with Catherine Day, AV withdraws request for authorisation. Vassiliou has confirmed that the committee's opinion was that there might be conflicts of interest arising; she decided to reject the offers and not proceed with seeking Commission authorisation.",,- ,yes,http://www.asktheeu.org/en/request/2136/response/7678/attach/3/Annexes.pdf + http://www.asktheeu.org/en/request/2136/response/7678/attach/4/annexes.pdf
Androulla Vassiliou,Cyprus,,,European Commission,"Commissioner for Education, Culture, Multilingualism and Youth ",Representative of the Republic of Cyprus on the High Council of the European University Institute,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2120-EN-F1-1.PDF,,unpaid,18/03/2015,yes,http://www.asktheeu.org/en/request/2136/response/7678/attach/3/Annexes.pdf + http://www.asktheeu.org/en/request/2136/response/7678/attach/4/annexes.pdf
Androulla Vassiliou,Cyprus,,,European Commission,"Commissioner for Education, Culture, Multilingualism and Youth ",Member of the Board of Trustees of Friends of Europe,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2113-EN-F1-1.PDF,"provided that Ms VASSILIOU refrained from lobbying the Commission and its departments for eighteen months after leaving the Commission should Friends of Europe decide to become involved in specific projects linked to education, culture, multilingualism and youth and ask for financial support from the European Union. ",unpaid,28/01/2015,no,http://www.asktheeu.org/en/request/1786/response/6585/attach/2/annexes.pdf
Androulla Vassiliou,Cyprus,,,European Commission,"Commissioner for Education, Culture, Multilingualism and Youth ",President of the Board of Trustees of the Bank of Cyprus Oncology Centre,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2113-EN-F1-1.PDF,,unpaid,28/01/2015,no,http://www.asktheeu.org/en/request/1786/response/6585/attach/2/annexes.pdf
Androulla Vassiliou,Cyprus,,,European Commission,"Commissioner for Education, Culture, Multilingualism and Youth ",Member of the Board of Trustees of the Cyprus Research and Educational Foundation,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2120-EN-F1-1.PDF,"provided that Ms VASSILIOU refrained from lobbying the Commission and/or its departments for 18 months after leaving office, should the Cyprus Institute and/or the Cyprus Research and Educational Foundation decide to apply for financial support from the European Union ",unpaid,18/03/2015,yes,http://www.asktheeu.org/en/request/2136/response/7678/attach/3/Annexes.pdf + http://www.asktheeu.org/en/request/2136/response/7678/attach/4/annexes.pdf
Andris Piebalgs,Latvia,,,European Commission,Commissioner for Development,Research Fellow at the Florence School of Regulation of the European University Institute ,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2130-EN-F1-1.PDF,provided Mr PIEBALGS fulfilled his obligations of discretion and collective responsibility and confidentiality under Articles 245 and 339 of the TFEU and Section 1.7 of the Code of Conduct for Commissioners. ,,09/06/2015,yes,http://www.asktheeu.org/en/request/2067/response/7281/attach/2/annexes.pdf
Andris Piebalgs,Latvia,,,European Commission,Commissioner for Development,A member of the Friends of the Global Fund Europe ,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2109-EN-F1-1.Pdf,,unpaid,10/12/2014,yes,http://www.asktheeu.org/en/request/1549/response/5975/attach/5/annex%20v.pdf + http://www.asktheeu.org/en/request/1549/response/6127/attach/6/annex%20iii.pdf + http://www.asktheeu.org/en/request/1549/response/6127/attach/7/annex%20iv.pdf
Andris Piebalgs,Latvia,,,European Commission,Commissioner for Development,member of the Board of Trustees of Friends of Europe ,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2113-EN-F1-1.PDF,provided that Mr PIEBALGS refrained from lobbying the Commission and its departments for eighteen months after leaving the Commission should Friends of Europe decide to become involved in specific projects linked to development and ask for financial support from the European Union ,,28/01/2015,no,http://www.asktheeu.org/en/request/1792/response/6592/attach/3/annexes%203.pdf 
Andris Piebalgs,Latvia,,,European Commission,Commissioner for Development,Adviser to the President of Latvia ,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2111-EN-F1-1.Pdf,,,13/01/2015,no,http://www.asktheeu.org/en/request/1792/response/6592/attach/3/annexes%203.pdf
Andris Piebalgs,Latvia,,,European Commission,Commissioner for Development,Visiting professor at the University of Latvia,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2109-EN-F1-1.Pdf,,,10/12/2014,no,http://www.asktheeu.org/en/request/1549/response/5975/attach/5/annex%20v.pdf + http://www.asktheeu.org/en/request/1549/response/6127/attach/6/annex%20iii.pdf + http://www.asktheeu.org/en/request/1549/response/6127/attach/7/annex%20iv.pdf
Algirdas Šemeta,Lithuania,,,European Commission,Commissioner for Taxation and customs union,"Business Ombudsman, a position created by the Memorandum of Understanding of the Anti-Corruption Initiative for Ukraine ",,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2107-EN-F1-1.Pdf,,,25/11/2014,yes,http://www.asktheeu.org/en/request/1549/response/5975/attach/8/annex%20iv.pdf + http://www.asktheeu.org/en/request/1549/response/6127/attach/6/annex%20iii.pdf + http://www.asktheeu.org/en/request/1549/response/6127/attach/7/annex%20iv.pdf
Jonathan Hill,UK,,,European Commission,"Commissioner for Financial Stability, Financial Services and Capital Markets Union",Signing with Chartwell Speakers and Literary Agency for speaking engagements at conferences + returning to House of Lords,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2016/EN/10061-2016-2183-EN-F1-1.PDF,"provided that Lord Hill complied with his obligations,  under  Article  245  and  Article  339  TFEU  and  the  Code  of  Conduct  for  Commissioners,  to  protect  collective  responsibility  and  the  confidentiality of matters dealt with by the Commission during his term of office  as  a  Member  of  the  Commission,  and  that  he  refrained  from  any  engagement that could conflict with these obligations; ",,28/9/2016,no,https://www.asktheeu.org/en/request/new_roles_of_commissioner_hill
