status,unregistered,ec_representative,created_at,updated_at,date,participants,location,ec_org,cancelled,deregistered,id,subject
active,,Paulina Dejmek Hack,2015-11-12T13:31:05.873628,2015-11-12T13:31:05.871453,2015-01-29T00:00:00,TheCityUK(4054501cc04842ec80b2b29e7d17fb38),"Brussels, Belgium",Presidency,False,,3238d094d3a69bc556ac31b1fb80d6e1,New Commission's priorities
active,,Pauline Rouch,2015-11-12T13:31:05.886273,2015-11-12T13:31:05.885882,2015-01-29T00:00:00,BT Group plc(388d31d917304c4f859b029541786e9d),"Brussels, Belgium",Presidency,False,,f6b719632a553bdf01f8b2b425dc0c20,Digital Single Market
active,,Carlo Zadra,2015-11-12T13:31:05.908681,2015-11-12T13:31:05.908290,2015-01-28T00:00:00,Coalition of European Organisations on Data Protection(12cd636e447347e491043c02be353e2c),"Berlaymont, Brussels, Belgium",Presidency,False,,ece6c9f6fe389abe99bccba991dfe95e,Data protection issues
active,,Carlo Zadra,2015-11-12T13:31:05.938734,2015-11-12T13:31:05.926955,2015-01-28T00:00:00,Community Public Affairs(8b390867355549e495b53ccf0bf33677),"Brussels, Belgium",Presidency,False,,8d76bd821d4dafefafef7f4acc2933bc,Data Protection Package
active,,Pauline Rouch,2015-11-12T13:31:05.953184,2015-11-12T13:31:05.951772,2015-01-27T00:00:00,The Walt Disney Company Benelux BVBA(b3860cc13bda4986b9ae8af0fc5f93c8),"Brussels, Belgium",Presidency,False,,1e81e2ef92d7513766e52864a654e9fb,Digital Single Market
active,,Pauline Rouch,2015-11-12T13:31:05.967817,2015-11-12T13:31:05.967085,2015-01-27T00:00:00,Sports Rights Owners Coalition(5263e8a636dd49b28e4d1252b53c5fb6),"Brussels, Belgium",Presidency,False,,e0f8b9bd801646f8b44edfcf0bfa42f4,Digital Single Market
active,,Martin Selmayr,2015-11-12T13:31:05.997499,2015-11-12T13:31:05.996752,2015-01-27T00:00:00,Commerzbank AG(5d71af57f23c4eea96c840fc2de163c1),"Brussels, Belgium",Presidency,False,,540cf7a6ba73bfdf969327e0e29f28a4,Current Financial Issues
active,,Martin Selmayr,2015-11-12T13:31:06.026183,2015-11-12T13:31:06.025441,2015-01-27T00:00:00,Centre for European Reform(287fb48276334ca596dcdcd639fc0553),"Brussels, Belgium",Presidency,False,,6f83f55c9e0b9b619d43dac53bc7079c,Current EU Policy Issues
active,,Telmo Baltazar,2015-11-12T13:31:06.051668,2015-11-12T13:31:06.050914,2015-01-26T00:00:00,WWF European Policy Programme(aac5ca5c751449f78d0c706904a23cd3),"Brussels, Belgium",Presidency,False,,3998ad9c5f63901b95c6fb58941da769,Energy Union
active,,Telmo Baltazar,2015-11-12T13:31:06.071794,2015-11-12T13:31:06.071049,2015-01-26T00:00:00,Euroheat & Power(ecbcb50dae0d41499e12a474ad7619af),"Brussels, Belgium",Presidency,False,,861aebe265abedf1cc274883e57c0a13,Energy Union
active,,Pauline Rouch,2015-11-12T13:31:06.092310,2015-11-12T13:31:06.091576,2015-01-26T00:00:00,LeGuide.com(5b8082a143944f45be43a6de730ecb72),"Brussels, Belgium",Presidency,False,,beb65ececd352883212ba8352e0c7048,Digital Single Market
active,,Telmo Baltazar,2015-11-12T13:31:06.126732,2015-11-12T13:31:06.124617,2015-01-23T00:00:00,"European Ferrous Recovery & Recycling Federation(8af1a3f5aaed452fbfdc5e67757b4046), European Metal Trade & Recycling Federation(1f7b42c6f69845fb8aee1ae4abe269f3), European Recycling Industries' Confederation(c7990f8b228942249f8bb4fd3e0b6b37)","Brussels, Belgium",Presidency,False,,2588a2c05789a19568a391dfc0e25903,Circular Economy
active,,Paulina Dejmek Hack,2015-11-12T13:31:06.173931,2015-11-12T13:31:06.172715,2015-01-23T00:00:00,Swiss Re Ltd.(9262523d55de46a889cc04264d36d38b),"Brussels, Belgium",Presidency,False,,5d299bd1a55a5adbfce1f74fd0a0b04f,Investment Plan
active,,Paulina Dejmek Hack,2015-11-12T13:31:06.184346,2015-11-12T13:31:06.183958,2015-01-23T00:00:00,Avisa Partners(f45aa50fc4bd4d4a992d2f7a7170d390),"Brussels, Belgium",Presidency,False,,ccc7ca62f62ea5649a7bded4a4765a26,Concurrence
active,,Paulina Dejmek Hack,2015-11-12T13:31:06.196214,2015-11-12T13:31:06.194991,2015-01-23T00:00:00,American Chamber of Commerce to the European Union(82978772cb2f4cc0a2eb2206f007fc55),"Brussels, Belgium",Presidency,False,,5f6ce21a9da9e7c63343aeda0c2257c6,Investment Plan
active,,Paulina Dejmek Hack,2015-11-12T13:31:06.204087,2015-11-12T13:31:06.203707,2015-01-23T00:00:00,Association européenne du cautionnement(a0995d8c0bc84b12bcdbda469b4966b5),"Brussels, Belgium",Presidency,False,,11e4ca1f1609da6b43080acb84bb8757,Investment Plan
active,,Paulina Dejmek Hack,2015-11-12T13:31:06.231541,2015-11-12T13:31:06.229395,2015-01-22T00:00:00,Confederation of Swedish Enterprise(41723cdabaf3462382329fe6c03c6391),"Brussels, Belgium",Presidency,False,,97b136cd6c96bfd3d7ce3706c23a388c,New Commission Priorities
active,,Luc Tholoniat,2015-11-12T13:31:06.263967,2015-11-12T13:31:06.249692,2015-01-22T00:00:00,Deutscher Industrie- und Handelskammertag e.V.(4fe70a269a59465d8846a5c4d1a444fa),"Brussels, Belgium",Presidency,False,,9589cf05dd0b7f11d24b5b9fb1e1b607,Situation et priorités économiques
active,,Pauline Rouch,2015-11-12T13:31:06.278467,2015-11-12T13:31:06.277736,2015-01-21T00:00:00,European Producers Club(6558cdd88e2e44219d244170bc561e40),"Brussels, Belgium",Presidency,False,,218bd5a51f971ae10457f6c0205bb546,Digital Single Market
active,,Luc Tholoniat,2015-11-12T13:31:06.305270,2015-11-12T13:31:06.304499,2015-01-21T00:00:00,European Anti Poverty Network(a674f6b8cb3a482eac9469e668032897),"Brussels, Belgium",Presidency,False,,aacad6ccecab1b093cf767225ab79cb1,Priorités sociales
active,,Pauline Rouch,2015-11-12T13:31:06.320129,2015-11-12T13:31:06.319745,2015-01-20T00:00:00,European Competitive Telecommuniations Association(c472787cf7a14452a64284655bef58bc),"Brussels, Belgium",Presidency,False,,10f2b3fa4e9d3fdc843a209a6623623d,Digital Single Market
active,,Martin Selmayr,2015-11-12T13:31:06.340333,2015-11-12T13:31:06.339067,2015-01-20T00:00:00,EKD-Büro Brüssel / EKD-Office Brussels(d48189547abc45188ccba0e5c92a84ca),"Brussels, Belgium",Presidency,False,,0bcb98900136f4fcd2f35f23a76f4f7f,The dialogue between Churches and the EU
active,,Pauline Rouch,2015-11-12T13:31:06.351153,2015-11-12T13:31:06.350749,2015-01-20T00:00:00,TeliaSonera AB(b844e28187b74ea3beebadbef0236d27),"Brussels, Belgium",Presidency,False,,4ad0ee2cca72bb35f72881e2fb00e8c4,Digital Single Market
active,,Telmo Baltazar,2015-11-12T13:31:06.360858,2015-11-12T13:31:06.360470,2015-01-20T00:00:00,Verband der Automobilindustrie(996c56b9a1354c5392858792eb95261b),"Brussels, Belgium",Presidency,False,,048197f5368163e743de22a5fd49b065,Investing in EU
active,,Paulina Dejmek Hack,2015-11-12T13:31:06.379399,2015-11-12T13:31:06.371777,2015-01-20T00:00:00,"McGraw Hill Financial, Inc.(ccaa0cdcb58949db901da30a473518ea)","Brussels, Belgium",Presidency,False,,b10be2302644c3ad3a2d384b5557b04c,Investment Plan
active,,Martin Selmayr Pauline Rouch,2015-11-12T13:31:05.416479,2016-04-14T01:56:51.402851,2015-02-26T00:00:00,European Publishers Council(85a8f63925ff4982b3637cd7809fb751),"Brussels, Belgium",Presidency,False,,f6ce761586096ff9f7eca01d8317651d,Working lunch
inactive,,Pauline Rouch,2015-11-12T13:31:05.760517,2016-03-10T01:49:31.259658,2015-02-03T00:00:00,European Internet Services Providers Association(ad4343059d4a487ca186bade9076487b),"Brussels, Belgium",Presidency,False,,34a85a7c019aa5a631737e4fddb3691a,Digital Single Market
active,,Martin Selmayr Telmo Baltazar,2015-11-12T13:31:05.402545,2016-04-14T01:56:51.339328,2015-02-26T00:00:00,Verband der Automobilindustrie(996c56b9a1354c5392858792eb95261b),"Brussels, Belgium",Presidency,False,,3df1d48cbd8027a8a968cd7ce196ed5d,Current EU Policy Issues
active,,Telmo Baltazar,2015-11-12T13:31:06.390079,2015-11-12T13:31:06.389487,2015-01-20T00:00:00,Emirates Airline(cec6c47ad5074ed7af692a0266181ec0),"Brussels, Belgium",Presidency,False,,4b5f9f3700c32469408633c6a340a0d0,Aviation in Europe
active,,Paulina Dejmek Hack,2015-11-12T13:31:06.419798,2015-11-12T13:31:06.419064,2015-01-19T00:00:00,Association for Financial Markets in Europe(b6ef67d9a37c49a6bf7421f62c479576),"Brussels, Belgium",Presidency,False,,46096e7cf4bd0f390c2f81bf7f398f5b,Capital Markets Union
active,,Telmo Baltazar,2015-11-12T13:31:06.435932,2015-11-12T13:31:06.435192,2015-01-19T00:00:00,Airbus Group N.V.(369f73cbcd63403cbbee3043af38b12b),"Brussels, Belgium",Presidency,False,,dcf5e1abef07fcb6a46b685f30dbb810,EU Aviation and Investment in Europe
active,,Pauline Rouch,2015-11-12T13:31:06.451433,2015-11-12T13:31:06.450676,2015-01-19T00:00:00,"Société des Auteurs, Compositeurs et Editeurs de Musique(95ce593ef1a1400ea07f2c5dec273da4)","Brussels, Belgium",Presidency,False,,c7180b74482ce9ef53b910364141381d,Digital Single Market
active,,Pauline Rouch,2015-11-12T13:31:06.479235,2015-11-12T13:31:06.468585,2015-01-19T00:00:00,Groupement Européen des Sociétés d'Auteurs et Compositeurs(ba43872843a24bfabb259ae1ef966e4b),"Brussels, Belgium",Presidency,False,,276c49f043486a1cb32d55739880b7a9,Digital Single Market
active,,Luc Tholoniat,2015-11-12T13:31:06.496779,2015-11-12T13:31:06.494546,2015-01-19T00:00:00,EUROPEAN TRADE UNION CONFEDERATION(98893fe0d2554088b253b817a47f535b),"Brussels, Belgium",Presidency,False,,ca2d51807302d811464980b94ab30038,Priorités économiques et sociales
active,,Pauline Rouch,2015-11-12T13:31:06.512971,2015-11-12T13:31:06.510851,2015-01-19T00:00:00,Association of Commercial Television in Europe(867f7df0f37247eab17e3f8d232e328c),"Brussels, Belgium",Presidency,False,,8cb7c808c7b9ceb8d5896a11dcdc29a8,Digital Single Market
active,,Paulina Dejmek Hack,2015-11-12T13:31:06.531591,2015-11-12T13:31:06.530849,2015-01-16T00:00:00,BNP PARIBAS(33597e7ffaf946858596408dcfe122d2),"Brussels, Belgium",Presidency,False,,4424e73aa5bfb4307736c3ad32e01c4d,Priorities of the new Commission in the area of Financial Services
active,,Paulina Dejmek Hack,2015-11-12T13:31:06.549528,2015-11-12T13:31:06.547375,2015-01-16T00:00:00,Afore Consulting(2324d259b9c04892950c39334738bf73),"Brussels, Belgium",Presidency,False,,2454f838fc4845aa100bb814ff9a68e7,Priorities of the new Commission in the area of Financial Services
active,,Paulina Dejmek Hack,2015-11-12T13:31:06.563924,2015-11-12T13:31:06.563184,2015-01-16T00:00:00,"The Goldman Sachs Group, Inc.(8fdcfd835fb64f14be6c3cffe3f4623c)","Brussels, Belgium",Presidency,False,,6c7be1c3e91c32de177c7217a7d18c6c,Capital Markets Union
active,,Telmo Baltazar,2015-11-12T13:31:06.583431,2015-11-12T13:31:06.581462,2015-01-15T00:00:00,ArcelorMittal(0c8ebebcfc2f4e3eb6a6684f3d35d3db),"Brussels, Belgium",Presidency,False,,10724ffc54eee689eb494644e146940c,Climate Action and Investment in Europe
active,,Antoine Kasel,2015-11-12T13:31:06.597277,2015-11-12T13:31:06.596891,2015-01-15T00:00:00,Greenpeace European Unit(553809c289c74395993953b64d407835),Brussels,Presidency,False,,322943d631433f1c803cfaf2fdeaabcb,Meeting on principles of scientific advice
active,,Martin Selmayr,2015-11-12T13:31:06.617899,2015-11-12T13:31:06.606396,2015-01-09T00:00:00,EuroComment(edfc49a50a0945a0a575a98013ed3cb8),"Brussels, Belgium",Presidency,False,,a92ece4772095e7491eb85607d766a8f,Investment Plan
active,,Martin Selmayr,2015-11-12T13:31:06.628931,2015-11-12T13:31:06.628539,2015-01-09T00:00:00,PA Europe(88346ef5e7fa4080b3b9bdde06feefd9),"Brussels, Belgium",Presidency,False,,f73193247f72806e1510e10328e4b2c8,Outside EU-investments
active,,Telmo Baltazar,2015-11-12T13:31:06.640289,2015-11-12T13:31:06.639042,2015-01-08T00:00:00,European Renewable Energies Federation asbl(ae3c4ac1b2f14e28be2eb3c77c5ccb0c),"Brussels, Belgium",Presidency,False,,aefb5638160151bbb2f019a63e6d354c,Energy Union
active,,Luc Tholoniat,2015-11-12T13:31:06.651476,2015-11-12T13:31:06.650486,2015-01-08T00:00:00,Unilever(29c9c54f8dba45ef987a7869f1fc3003),"Brussels, Belgium",Presidency,False,,14db9ad62099fae2a5f6b8f8b2c23967,Economic and industrial priorities of the EU
active,,Luc Tholoniat,2015-11-12T13:31:06.692550,2015-11-12T13:31:06.680533,2015-01-08T00:00:00,BUSINESSEUROPE(4455ab5dd3eb4f4493998d02bd3150b7),"Brussels, Belgium",Presidency,False,,88aa3455e8a965d43f221f64d286dafb,Priorités économiques et sociales
active,,Pauline Rouch,2015-11-12T13:31:06.712611,2015-11-12T13:31:06.711854,2015-01-07T00:00:00,Bertelsmann SE & Co. KGaA(bdc69fb5dbb34a879a0296094ebd9c16),"Brussels, Belgium",Presidency,False,,0d29547f136dced70faa8ca195b88de8,Digital Single Market
active,,Pauline Rouch,2015-11-12T13:31:06.738657,2015-11-12T13:31:06.737888,2015-01-06T00:00:00,Motion Picture Association(a639e6fa3b994083b4bab8ae8a8a7750),"Brussels, Belgium",Presidency,False,,a97665f854cd29fff83e792a76f70b44,Digital Single Market
active,,Pauline Rouch,2015-11-12T13:31:06.760226,2015-11-12T13:31:06.759836,2015-01-06T00:00:00,Vodafone Belgium SA(5ec51daea8424410b06bd40c08ded706),"Brussels, Belgium",Presidency,False,,3f19c9bc9abec0297abe2131ffcb33db,Digital Single Market
active,,Telmo Baltazar,2015-11-12T13:31:06.771754,2015-11-12T13:31:06.770504,2014-12-22T00:00:00,Eni S.p.A.(ee1414069e8f4da9bc76bdcda4e007eb),"Brussels, Belgium",Presidency,False,,80929fe511d7f13c2325ba9f2595e0a7,Energy Union - Investment in Europe
active,,Leon Delvaux,2015-11-12T13:31:06.781169,2015-11-12T13:31:06.780784,2014-12-18T00:00:00,UNIFE(9ea9f5cdb07e420f87601244f15240d3),"Brussels, Belgium",Presidency,False,,121206df6d8b136041efda65f0991bc7,The European Rail Industry in Trade Negotiations
active,,Telmo Baltazar,2015-11-12T13:31:06.790378,2015-11-12T13:31:06.789989,2014-12-18T00:00:00,"European Environmental Bureau(8daf4e044aa1470d95cc283fa67170c7), Stichting BirdLife Europe(3fc9290a33544e7284bc8ac8715172da), WWF European Policy Programme(aac5ca5c751449f78d0c706904a23cd3), Climate Action Network Europe(83b243f8eb644be78b034471c78d3383), Health & Environment Alliance(9bdd8ce4262d4143a176c1a73a6cd5e5), CEE Bankwatch Network(89b1cff64d7043a0a625af2dc3545288), Transport and Environment (European Federation for Transport and Environment)(39aea84e091b4cc7bc33d1450941507f)","Brussels, Belgium",Presidency,False,,a919b667c45401d9b388b5ec6d6becb2,Energy Union
active,,Paulina Dejmek Hack,2015-11-12T13:31:06.951209,2015-11-12T13:31:06.937527,2014-12-17T00:00:00,Managed Funds Association(b415aff8619f4d64a7be40969b9fdbbc),"Brussels, Belgium",Presidency,False,,a5979b5a17d980f061069d30f38be98e,Investment Plan and Capital Markets Union
active,,Luc Tholoniat,2015-11-12T13:31:06.971370,2015-11-12T13:31:06.969165,2014-12-15T00:00:00,European Round Table of Industrialists(6f1a228ff07f4768b63eb8411651f36e),"Brussels, Belgium",Presidency,False,,b63ba0849784c7e6f1b99cb96fd80784,Economic priorities of the EU
active,,Carlo Zadra,2015-11-12T13:31:06.990913,2015-11-12T13:31:06.990095,2014-12-15T00:00:00,Federazione Imprese Siderurgiche Italiane(94fbaacea67446cc9530b8cc5892e442),Brussels - Belgium,Presidency,False,,387b647545f61c826cf853ee924fd3c4,Main issues on the European agenda relevant to the Italian steel sector
active,,Luc Tholoniat,2015-11-12T13:31:07.006867,2015-11-12T13:31:07.006422,2014-12-12T00:00:00,European Federation of National Organisations working with the Homeless(7d3d278d77e840e7b750babb44465e40),"Brussels, Belgium",Presidency,False,,df7c177ed30feaa5453101675e31a900,Priorités de l'UE dans le domaine social
active,,Luc Tholoniat,2015-11-12T13:31:07.016018,2015-11-12T13:31:07.015597,2014-12-12T00:00:00,Platform of European Social NGOs(5197275752e34e03897d0b24d70c4fce),"Brussels, Belgium",Presidency,False,,552c50adc757f70c8d4091f7a7e936b8,Priorités de l'UE dans le domaine social
active,,Carlo Zadra,2015-11-12T13:31:07.035773,2015-11-12T13:31:07.026763,2014-12-11T00:00:00,Human Rights Watch(fb880a09da624f95b49723b25f0acef2),Brussels - Belgium,Presidency,False,,3aa4e88f53c17fcc6197a06a427a37fa,EU policy related issues
