ID,Name,Link_image,Country,Political_group,Party,Institution,Previous_position,New_position,category_pie,category_bar,brussel_lobbying,Link_profile,Link_source,group2,Description,Paid_unpaid,Answers,Certified,Date of Commission authorisation,Based on advice from Ad hoc Ethical Committee?,Link to authorisation in College of Commissioners' minutes,"Link to Commission authorisation documents, released under freedom of information rules. Click on the links to read the documents",Link Transparency register
96987,Ricardo CORTÉS LASTRA,,Spain,S&D,Socialist Workers' Party,European Parliament,MEP,Member of Congress of Spain,Elected office & public sector,Elected office,no,,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=353&idLegislatura=12,PSOE,,,,Raphael,,,,,
2037,Robert STURDY,,United Kingdom,ECR,Conservative Party,European Parliament,MEP,Unknown,Unknown,Unknown,Unknown,,https://en.wikipedia.org/wiki/Robert_Sturdy,,,,,Raphael,,,,,
39321,Vicente Miguel GARCÉS RAMÓN,,Spain,S&D,Socialist Workers' Party,European Parliament,MEP,"2nd vice-president, CERAI (centre for Agrcultural studies)","Think tanks, research and academic institutions",Academic,no,,http://cerai.org/organigrama/,PSOE,,,,Raphael,,,,,
1941,Roberta ANGELILLI,,Italy,EPP,New Centre Right ,European Parliament,MEP,Active member of the Nuovo Centro Democratic. Does not hold an elected office currently,Unknown,Unknown,Unknown,,http://www.nuovocentrodestra.it/coordinatori-regionali-e-di-grandi-citta/,NCD,No longer a regional coordinator. Is active in the no campaign for the referendum on the reform of the state ,,,Raphael,,,,,
1992,José Manuel GARCÍA-MARGALLO Y MARFIL,,Spain,EPP,People's Party,European Parliament,MEP,Minister of Foreign Affairs and Cooperation,Elected office & public sector,Elected office,no,,http://www.exteriores.gob.es/Portal/en/Ministerio/Ministro/Paginas/Biografia.aspx,PP,,,,Raphael,,,,,
125380,Roberto DIETRICH,,Romania,ALDE,National Liberal Party,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,,PNL,Confirm,,,Raphael,,,,,
4326,Cristina GUTIÉRREZ-CORTINES,,Spain,EPP,People's Party,European Parliament,MEP,Vice.President of Ars Civilis Foundation. Professor of History of Art at Murcia University.,"Non-governmental organisations, platforms and networks and similar",NGOs,no,,http://www.arscivilis.org/en/quienes-somos/,PP,,,,Raphael,,,,,
119875,Iñaki IRAZABALBEITIA FERNÁNDEZ,,Spain,Greens/EFA,Aralar Party,European Parliament,MEP,Corresponding academic for Euskaltzaindia (Academy of the basque language),"Think tanks, research and academic institutions",Academic,no,,http://www.euskaltzaindia.eus/index.php?option=com_content&view=article&id=4764&Itemid=405&lang=eu,,,,,Raphael,,,,,
105192,María IRIGOYEN PÉREZ,,Spain,S&D,Socialist Workers' Party,European Parliament,MEP,"Senator for Soria, Spain",Elected office & public sector,Elected office,no,,http://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=11&id1=17003,PSOE,,,,Raphael,,,,,
96708,Oriol JUNQUERAS VIES,,Spain,Greens/EFA,Republican Left of Catalonia,European Parliament,MEP,Vice President of Catalan Government,Elected office & public sector,Elected office,no,,http://www.govern.cat/pres_gov/AppJava/govern/govern/consell-executiu/84/oriol-junqueras-vies.html?mode=static,,,,,Raphael,,,,,
