name,id,voted,votes,percent,active
"Neena GILL",4533,280,285,98.25,True
"Esteban GONZÁLEZ PONS",125027,280,285,98.25,True
"Beata GOSIEWSKA",124900,280,285,98.25,True
"András GYÜRK",23816,280,285,98.25,True
"Kinga GÁL",28150,280,285,98.25,True
"Brian HAYES",118658,280,285,98.25,True
"Iris HOFFMANN",124841,280,285,98.25,True
"Petr JEŽEK",124707,280,285,98.25,True
"Marc JOULAUD",124728,280,285,98.25,True
"Jeppe KOFOD",124870,280,285,98.25,True
"Jeroen LENAERS",95074,280,285,98.25,True
"Arne LIETZ",124839,280,285,98.25,True
"Vicky MAEIJER",97513,280,285,98.25,True
"Nadine MORANO",72779,280,285,98.25,True
"Victor NEGRESCU",88882,280,285,98.25,True
"Franz OBERMAYR",96981,280,285,98.25,True
"Piernicola PEDICINI",124844,280,285,98.25,True
"Pina PICIERNO",124846,280,285,98.25,True
"Gabriele PREUSS",124888,280,285,98.25,True
"Herbert REUL",28225,280,285,98.25,True
"Christine REVAULT D'ALLONNES BONNEFOY",124287,280,285,98.25,True
"Bronis ROPĖ",125214,280,285,98.25,True
"Olaf STUGER",125028,280,285,98.25,True
"Tibor SZANYI",124703,280,285,98.25,True
"Evžen TOŠENOVSKÝ",96713,280,285,98.25,True
"Monika VANA",124934,280,285,98.25,True
"Anders Primdahl VISTISEN",124875,280,285,98.25,True
"Jan ZAHRADIL",23712,280,285,98.25,True
"Joachim ZELLER",96762,280,285,98.25,True
"Marco ZULLO",125237,280,285,98.25,True
"Luis de GRANDES PASCUAL",28393,280,285,98.25,True
"Catherine BEARDER",96955,279,285,97.89,True
"Izaskun BILBAO BARANDICA",96922,279,285,97.89,True
"José BOVÉ",96744,279,285,97.89,True
"Mercedes BRESSO",28346,279,285,97.89,True
"Steeve BRIOIS",124757,279,285,97.89,True
"Caterina CHINNICI",124861,279,285,97.89,True
"Pablo ECHENIQUE",125036,279,285,97.89,True
"Elisabetta GARDINI",58758,279,285,97.89,True
"Adam GIEREK",28379,279,285,97.89,True
"Mary HONEYBALL",5846,279,285,97.89,True
"Filiz HYUSMENOVA",34249,279,285,97.89,True
"Liisa JAAKONSAARI",96684,279,285,97.89,True
"Danuta JAZŁOWIECKA",96781,279,285,97.89,True
"Karin KADENBACH",97014,279,285,97.89,True
"Kaja KALLAS",124697,279,285,97.89,True
"Ska KELLER",96734,279,285,97.89,True
"Barbara KUDRYCKA",28284,279,285,97.89,True
"Eduard KUKAN",96651,279,285,97.89,True
"Olle LUDVIGSSON",96673,279,285,97.89,True
"Ulrike LUNACEK",97017,279,285,97.89,True
"Fernando MAURA BARANDIARÁN",125039,279,285,97.89,True
"Morten MESSERSCHMIDT",96663,279,285,97.89,True
"Luigi MORGANO",124788,279,285,97.89,True
"Linda McAVAN",2327,279,285,97.89,True
"Stanisław OŻÓG",124897,279,285,97.89,True
"Margot PARKER",124945,279,285,97.89,True
"Marijana PETIR",124749,279,285,97.89,True
"Mirosław PIOTROWSKI",28341,279,285,97.89,True
"Kati PIRI",37229,279,285,97.89,True
"Maurice PONGA",96931,279,285,97.89,True
"Tomasz Piotr PORĘBA",96801,279,285,97.89,True
"Julia REDA",124816,279,285,97.89,True
